Reporter_Code,Reporter_Description,Partner_Code,Partner_Description,Indicator_Code,Indicator_Description,Flow_Code,Flow_Description,Year,Unit,Value,Flag,Source_Description,Note
US,United States of America,AR,Argentina,S,Services,M,Imports,2005,Million USD,785,,OECD,
US,United States of America,AR,Argentina,S,Services,M,Imports,2006,Million USD,905,,OECD,
US,United States of America,AR,Argentina,S,Services,M,Imports,2007,Million USD,1026,,OECD,
US,United States of America,AR,Argentina,S,Services,M,Imports,2008,Million USD,1259,,OECD,
US,United States of America,AR,Argentina,S,Services,M,Imports,2009,Million USD,1186,,OECD,
US,United States of America,AR,Argentina,S,Services,M,Imports,2010,Million USD,1432,,OECD,
US,United States of America,AR,Argentina,S,Services,M,Imports,2011,Million USD,1714,,OECD,
US,United States of America,AR,Argentina,S,Services,M,Imports,2012,Million USD,1898,,OECD,
US,United States of America,AR,Argentina,S,Services,M,Imports,2013,Million USD,1746,,OECD,
US,United States of America,AR,Argentina,S,Services,M,Imports,2014,Million USD,1670,,OECD,
US,United States of America,AR,Argentina,S,Services,M,Imports,2015,Million USD,2052,,OECD,
US,United States of America,AR,Argentina,S,Services,M,Imports,2016,Million USD,2164,,OECD,
US,United States of America,AT,Austria,S,Services,M,Imports,2013,Million USD,1789,,OECD,
US,United States of America,AT,Austria,S,Services,M,Imports,2014,Million USD,1883,,OECD,
US,United States of America,AT,Austria,S,Services,M,Imports,2015,Million USD,1601,,OECD,
US,United States of America,AT,Austria,S,Services,M,Imports,2016,Million USD,1584,,OECD,
US,United States of America,AU,Australia,S,Services,M,Imports,2005,Million USD,4119,,OECD,
US,United States of America,AU,Australia,S,Services,M,Imports,2006,Million USD,4540,,OECD,
US,United States of America,AU,Australia,S,Services,M,Imports,2007,Million USD,5045,,OECD,
US,United States of America,AU,Australia,S,Services,M,Imports,2008,Million USD,5505,,OECD,
US,United States of America,AU,Australia,S,Services,M,Imports,2009,Million USD,5445,,OECD,
US,United States of America,AU,Australia,S,Services,M,Imports,2010,Million USD,5269,,OECD,
US,United States of America,AU,Australia,S,Services,M,Imports,2011,Million USD,6190,,OECD,
US,United States of America,AU,Australia,S,Services,M,Imports,2012,Million USD,6862,,OECD,
US,United States of America,AU,Australia,S,Services,M,Imports,2013,Million USD,6627,,OECD,
US,United States of America,AU,Australia,S,Services,M,Imports,2014,Million USD,6481,,OECD,
US,United States of America,AU,Australia,S,Services,M,Imports,2015,Million USD,7203,,OECD,
US,United States of America,AU,Australia,S,Services,M,Imports,2016,Million USD,7274,,OECD,
US,United States of America,BE,Belgium,S,Services,M,Imports,2005,Million USD,2975,,OECD,
US,United States of America,BE,Belgium,S,Services,M,Imports,2006,Million USD,3524,,OECD,
US,United States of America,BE,Belgium,S,Services,M,Imports,2007,Million USD,4152,,OECD,
US,United States of America,BE,Belgium,S,Services,M,Imports,2008,Million USD,4684,,OECD,
US,United States of America,BE,Belgium,S,Services,M,Imports,2009,Million USD,5440,,OECD,
US,United States of America,BE,Belgium,S,Services,M,Imports,2010,Million USD,5430,,OECD,
US,United States of America,BE,Belgium,S,Services,M,Imports,2011,Million USD,6397,,OECD,
US,United States of America,BE,Belgium,S,Services,M,Imports,2012,Million USD,6242,,OECD,
US,United States of America,BE,Belgium,S,Services,M,Imports,2013,Million USD,5149,,OECD,
US,United States of America,BE,Belgium,S,Services,M,Imports,2014,Million USD,5780,,OECD,
US,United States of America,BE,Belgium,S,Services,M,Imports,2015,Million USD,5881,,OECD,
US,United States of America,BE,Belgium,S,Services,M,Imports,2016,Million USD,5766,,OECD,
US,United States of America,BG,Bulgaria,S,Services,M,Imports,2013,Million USD,483,,OECD,
US,United States of America,BG,Bulgaria,S,Services,M,Imports,2014,Million USD,505,,OECD,
US,United States of America,BG,Bulgaria,S,Services,M,Imports,2015,Million USD,458,,OECD,
US,United States of America,BG,Bulgaria,S,Services,M,Imports,2016,Million USD,556,,OECD,
US,United States of America,BH,"Bahrain, Kingdom of",S,Services,M,Imports,2013,Million USD,1076,,OECD,
US,United States of America,BH,"Bahrain, Kingdom of",S,Services,M,Imports,2014,Million USD,1086,,OECD,
US,United States of America,BH,"Bahrain, Kingdom of",S,Services,M,Imports,2015,Million USD,1104,,OECD,
US,United States of America,BH,"Bahrain, Kingdom of",S,Services,M,Imports,2016,Million USD,1024,,OECD,
US,United States of America,BM,Bermuda,S,Services,M,Imports,2005,Million USD,12416,,OECD,
US,United States of America,BM,Bermuda,S,Services,M,Imports,2006,Million USD,15745,,OECD,
US,United States of America,BM,Bermuda,S,Services,M,Imports,2007,Million USD,17892,,OECD,
US,United States of America,BM,Bermuda,S,Services,M,Imports,2008,Million USD,24675,,OECD,
US,United States of America,BM,Bermuda,S,Services,M,Imports,2009,Million USD,33769,,OECD,
US,United States of America,BM,Bermuda,S,Services,M,Imports,2010,Million USD,31975,,OECD,
US,United States of America,BM,Bermuda,S,Services,M,Imports,2011,Million USD,29070,,OECD,
US,United States of America,BM,Bermuda,S,Services,M,Imports,2012,Million USD,27659,,OECD,
US,United States of America,BM,Bermuda,S,Services,M,Imports,2013,Million USD,27053,,OECD,
US,United States of America,BM,Bermuda,S,Services,M,Imports,2014,Million USD,26050,,OECD,
US,United States of America,BM,Bermuda,S,Services,M,Imports,2015,Million USD,25053,,OECD,
US,United States of America,BM,Bermuda,S,Services,M,Imports,2016,Million USD,24629,,OECD,
US,United States of America,BN,Brunei Darussalam,S,Services,M,Imports,2013,Million USD,9,,OECD,
US,United States of America,BN,Brunei Darussalam,S,Services,M,Imports,2014,Million USD,14,,OECD,
US,United States of America,BN,Brunei Darussalam,S,Services,M,Imports,2015,Million USD,10,,OECD,
